"forecast_date","target","target_end_date","location","type","quantile","value"
2022-01-30,"5 wk ahead cum death",2022-03-05,"US","quantile",0.01,80129.8
2022-01-30,"6 wk ahead cum death",2022-03-12,"US","quantile",0.01,80314.04
2022-01-30,"7 wk ahead cum death",2022-03-19,"US","quantile",0.01,80465.64
2022-01-30,"8 wk ahead cum death",2022-03-26,"US","quantile",0.01,80589.84
2022-01-30,"9 wk ahead cum death",2022-04-02,"US","quantile",0.01,80692.24
2022-01-30,"10 wk ahead cum death",2022-04-09,"US","quantile",0.01,80779.72
2022-01-30,"11 wk ahead cum death",2022-04-16,"US","quantile",0.01,80853.92
2022-01-30,"12 wk ahead cum death",2022-04-23,"US","quantile",0.01,80915.48
2022-01-30,"13 wk ahead cum death",2022-04-30,"US","quantile",0.01,80970.12
2022-01-30,"14 wk ahead cum death",2022-05-07,"US","quantile",0.01,81016.52
2022-01-30,"15 wk ahead cum death",2022-05-14,"US","quantile",0.01,81058.4
2022-01-30,"16 wk ahead cum death",2022-05-21,"US","quantile",0.01,81094.2
2022-01-30,"17 wk ahead cum death",2022-05-28,"US","quantile",0.01,81126.4
2022-01-30,"18 wk ahead cum death",2022-06-04,"US","quantile",0.01,81155.48
2022-01-30,"19 wk ahead cum death",2022-06-11,"US","quantile",0.01,81180.68
2022-01-30,"20 wk ahead cum death",2022-06-18,"US","quantile",0.01,81204.72
2022-01-30,"1 wk ahead inc death",2022-02-05,"US","quantile",0.025,0
2022-01-30,"2 wk ahead inc death",2022-02-12,"US","quantile",0.025,981.2
2022-01-30,"3 wk ahead inc death",2022-02-19,"US","quantile",0.025,785
2022-01-30,"4 wk ahead inc death",2022-02-26,"US","quantile",0.025,631.8
2022-01-30,"5 wk ahead inc death",2022-03-05,"US","quantile",0.025,512.6
2022-01-30,"6 wk ahead inc death",2022-03-12,"US","quantile",0.025,418.6
2022-01-30,"7 wk ahead inc death",2022-03-19,"US","quantile",0.025,346
2022-01-30,"8 wk ahead inc death",2022-03-26,"US","quantile",0.025,288
2022-01-30,"9 wk ahead inc death",2022-04-02,"US","quantile",0.025,241
2022-01-30,"10 wk ahead inc death",2022-04-09,"US","quantile",0.025,205.2
2022-01-30,"11 wk ahead inc death",2022-04-16,"US","quantile",0.025,175
2022-01-30,"12 wk ahead inc death",2022-04-23,"US","quantile",0.025,149.4
2022-01-30,"13 wk ahead inc death",2022-04-30,"US","quantile",0.025,130.6
2022-01-30,"14 wk ahead inc death",2022-05-07,"US","quantile",0.025,113
2022-01-30,"15 wk ahead inc death",2022-05-14,"US","quantile",0.025,100.2
2022-01-30,"16 wk ahead inc death",2022-05-21,"US","quantile",0.025,88
2022-01-30,"17 wk ahead inc death",2022-05-28,"US","quantile",0.025,79
2022-01-30,"18 wk ahead inc death",2022-06-04,"US","quantile",0.025,71.2
2022-01-30,"19 wk ahead inc death",2022-06-11,"US","quantile",0.025,63
2022-01-30,"20 wk ahead inc death",2022-06-18,"US","quantile",0.025,58.6
2022-01-30,"1 wk ahead cum death",2022-02-05,"US","quantile",0.025,79323.4
2022-01-30,"2 wk ahead cum death",2022-02-12,"US","quantile",0.025,80304.6
2022-01-30,"3 wk ahead cum death",2022-02-19,"US","quantile",0.025,81089.6
2022-01-30,"4 wk ahead cum death",2022-02-26,"US","quantile",0.025,81721.4
2022-01-30,"5 wk ahead cum death",2022-03-05,"US","quantile",0.025,82234
2022-01-30,"6 wk ahead cum death",2022-03-12,"US","quantile",0.025,82652.6
2022-01-30,"7 wk ahead cum death",2022-03-19,"US","quantile",0.025,82998.6
2022-01-30,"8 wk ahead cum death",2022-03-26,"US","quantile",0.025,83286.6
2022-01-30,"9 wk ahead cum death",2022-04-02,"US","quantile",0.025,83527.6
2022-01-30,"10 wk ahead cum death",2022-04-09,"US","quantile",0.025,83732.8
2022-01-30,"11 wk ahead cum death",2022-04-16,"US","quantile",0.025,83907.8
2022-01-30,"12 wk ahead cum death",2022-04-23,"US","quantile",0.025,84057.2
2022-01-30,"13 wk ahead cum death",2022-04-30,"US","quantile",0.025,84187.8
2022-01-30,"14 wk ahead cum death",2022-05-07,"US","quantile",0.025,84300.8
2022-01-30,"15 wk ahead cum death",2022-05-14,"US","quantile",0.025,84401
2022-01-30,"16 wk ahead cum death",2022-05-21,"US","quantile",0.025,84489
2022-01-30,"17 wk ahead cum death",2022-05-28,"US","quantile",0.025,84568
2022-01-30,"18 wk ahead cum death",2022-06-04,"US","quantile",0.025,84639.2
2022-01-30,"19 wk ahead cum death",2022-06-11,"US","quantile",0.025,84702.2
2022-01-30,"20 wk ahead cum death",2022-06-18,"US","quantile",0.025,84760.8
2022-01-30,"1 wk ahead inc death",2022-02-05,"US","quantile",0.05,0
2022-01-30,"2 wk ahead inc death",2022-02-12,"US","quantile",0.05,1802.2
2022-01-30,"3 wk ahead inc death",2022-02-19,"US","quantile",0.05,1459.8
2022-01-30,"4 wk ahead inc death",2022-02-26,"US","quantile",0.05,1187.8
2022-01-30,"5 wk ahead inc death",2022-03-05,"US","quantile",0.05,974.4
2022-01-30,"6 wk ahead inc death",2022-03-12,"US","quantile",0.05,805.6
2022-01-30,"7 wk ahead inc death",2022-03-19,"US","quantile",0.05,671.4
2022-01-30,"8 wk ahead inc death",2022-03-26,"US","quantile",0.05,565.2
2022-01-30,"9 wk ahead inc death",2022-04-02,"US","quantile",0.05,478.6
2022-01-30,"10 wk ahead inc death",2022-04-09,"US","quantile",0.05,409.6
2022-01-30,"11 wk ahead inc death",2022-04-16,"US","quantile",0.05,352.6
2022-01-30,"12 wk ahead inc death",2022-04-23,"US","quantile",0.05,306
2022-01-30,"13 wk ahead inc death",2022-04-30,"US","quantile",0.05,267.8
2022-01-30,"14 wk ahead inc death",2022-05-07,"US","quantile",0.05,235.4
2022-01-30,"15 wk ahead inc death",2022-05-14,"US","quantile",0.05,209
2022-01-30,"16 wk ahead inc death",2022-05-21,"US","quantile",0.05,186.6
2022-01-30,"17 wk ahead inc death",2022-05-28,"US","quantile",0.05,168.6
2022-01-30,"18 wk ahead inc death",2022-06-04,"US","quantile",0.05,153
2022-01-30,"19 wk ahead inc death",2022-06-11,"US","quantile",0.05,138.2
2022-01-30,"20 wk ahead inc death",2022-06-18,"US","quantile",0.05,128
2022-01-30,"1 wk ahead cum death",2022-02-05,"US","quantile",0.05,80152.8
2022-01-30,"2 wk ahead cum death",2022-02-12,"US","quantile",0.05,81955
2022-01-30,"3 wk ahead cum death",2022-02-19,"US","quantile",0.05,83414.8
2022-01-30,"4 wk ahead cum death",2022-02-26,"US","quantile",0.05,84602.6
2022-01-30,"5 wk ahead cum death",2022-03-05,"US","quantile",0.05,85577
2022-01-30,"6 wk ahead cum death",2022-03-12,"US","quantile",0.05,86382.6
2022-01-30,"7 wk ahead cum death",2022-03-19,"US","quantile",0.05,87054
2022-01-30,"8 wk ahead cum death",2022-03-26,"US","quantile",0.05,87619.2
2022-01-30,"9 wk ahead cum death",2022-04-02,"US","quantile",0.05,88097.8
2022-01-30,"10 wk ahead cum death",2022-04-09,"US","quantile",0.05,88507.4
2022-01-30,"11 wk ahead cum death",2022-04-16,"US","quantile",0.05,88860
2022-01-30,"12 wk ahead cum death",2022-04-23,"US","quantile",0.05,89166
2022-01-30,"13 wk ahead cum death",2022-04-30,"US","quantile",0.05,89433.8
2022-01-30,"14 wk ahead cum death",2022-05-07,"US","quantile",0.05,89669.2
2022-01-30,"15 wk ahead cum death",2022-05-14,"US","quantile",0.05,89878.2
2022-01-30,"16 wk ahead cum death",2022-05-21,"US","quantile",0.05,90064.8
2022-01-30,"17 wk ahead cum death",2022-05-28,"US","quantile",0.05,90233.4
2022-01-30,"18 wk ahead cum death",2022-06-04,"US","quantile",0.05,90386.4
2022-01-30,"19 wk ahead cum death",2022-06-11,"US","quantile",0.05,90524.6
2022-01-30,"20 wk ahead cum death",2022-06-18,"US","quantile",0.05,90652.6
2022-01-30,"1 wk ahead inc death",2022-02-05,"US","quantile",0.1,0
2022-01-30,"2 wk ahead inc death",2022-02-12,"US","quantile",0.1,2843.4
2022-01-30,"3 wk ahead inc death",2022-02-19,"US","quantile",0.1,2391
2022-01-30,"4 wk ahead inc death",2022-02-26,"US","quantile",0.1,1974.2
2022-01-30,"5 wk ahead inc death",2022-03-05,"US","quantile",0.1,1642
2022-01-30,"6 wk ahead inc death",2022-03-12,"US","quantile",0.1,1376.8
2022-01-30,"7 wk ahead inc death",2022-03-19,"US","quantile",0.1,1163.4
2022-01-30,"8 wk ahead inc death",2022-03-26,"US","quantile",0.1,991.2
2022-01-30,"9 wk ahead inc death",2022-04-02,"US","quantile",0.1,851.4
2022-01-30,"10 wk ahead inc death",2022-04-09,"US","quantile",0.1,736.8
2022-01-30,"11 wk ahead inc death",2022-04-16,"US","quantile",0.1,643.4
2022-01-30,"12 wk ahead inc death",2022-04-23,"US","quantile",0.1,566
2022-01-30,"13 wk ahead inc death",2022-04-30,"US","quantile",0.1,500.2
2022-01-30,"14 wk ahead inc death",2022-05-07,"US","quantile",0.1,447.4
2022-01-30,"15 wk ahead inc death",2022-05-14,"US","quantile",0.1,401.4
2022-01-30,"16 wk ahead inc death",2022-05-21,"US","quantile",0.1,363.8
2022-01-30,"17 wk ahead inc death",2022-05-28,"US","quantile",0.1,331.8
2022-01-30,"18 wk ahead inc death",2022-06-04,"US","quantile",0.1,304.2
2022-01-30,"19 wk ahead inc death",2022-06-11,"US","quantile",0.1,281.4
2022-01-30,"20 wk ahead inc death",2022-06-18,"US","quantile",0.1,261.6
2022-01-30,"1 wk ahead cum death",2022-02-05,"US","quantile",0.1,81118
2022-01-30,"2 wk ahead cum death",2022-02-12,"US","quantile",0.1,83961.4
2022-01-30,"3 wk ahead cum death",2022-02-19,"US","quantile",0.1,86352.4
2022-01-30,"4 wk ahead cum death",2022-02-26,"US","quantile",0.1,88372.2
2022-01-30,"5 wk ahead cum death",2022-03-05,"US","quantile",0.1,90094.6
2022-01-30,"6 wk ahead cum death",2022-03-12,"US","quantile",0.1,91548.2
2022-01-30,"7 wk ahead cum death",2022-03-19,"US","quantile",0.1,92711.6
2022-01-30,"8 wk ahead cum death",2022-03-26,"US","quantile",0.1,93702.8
2022-01-30,"9 wk ahead cum death",2022-04-02,"US","quantile",0.1,94554.2
2022-01-30,"10 wk ahead cum death",2022-04-09,"US","quantile",0.1,95291
2022-01-30,"11 wk ahead cum death",2022-04-16,"US","quantile",0.1,95934.4
2022-01-30,"12 wk ahead cum death",2022-04-23,"US","quantile",0.1,96500.4
2022-01-30,"13 wk ahead cum death",2022-04-30,"US","quantile",0.1,97000.6
2022-01-30,"14 wk ahead cum death",2022-05-07,"US","quantile",0.1,97448
2022-01-30,"15 wk ahead cum death",2022-05-14,"US","quantile",0.1,97849.4
2022-01-30,"16 wk ahead cum death",2022-05-21,"US","quantile",0.1,98213.2
2022-01-30,"17 wk ahead cum death",2022-05-28,"US","quantile",0.1,98545
2022-01-30,"18 wk ahead cum death",2022-06-04,"US","quantile",0.1,98849.2
2022-01-30,"19 wk ahead cum death",2022-06-11,"US","quantile",0.1,99130.6
2022-01-30,"20 wk ahead cum death",2022-06-18,"US","quantile",0.1,99392.2
2022-01-30,"1 wk ahead inc death",2022-02-05,"US","quantile",0.15,0
2022-01-30,"2 wk ahead inc death",2022-02-12,"US","quantile",0.15,3056.4
2022-01-30,"3 wk ahead inc death",2022-02-19,"US","quantile",0.15,2564.4
2022-01-30,"4 wk ahead inc death",2022-02-26,"US","quantile",0.15,2185.4
2022-01-30,"5 wk ahead inc death",2022-03-05,"US","quantile",0.15,1879.6
2022-01-30,"6 wk ahead inc death",2022-03-12,"US","quantile",0.15,1633.6
2022-01-30,"7 wk ahead inc death",2022-03-19,"US","quantile",0.15,1427.4
2022-01-30,"8 wk ahead inc death",2022-03-26,"US","quantile",0.15,1244.4
2022-01-30,"9 wk ahead inc death",2022-04-02,"US","quantile",0.15,1093.8
2022-01-30,"10 wk ahead inc death",2022-04-09,"US","quantile",0.15,970.2
2022-01-30,"11 wk ahead inc death",2022-04-16,"US","quantile",0.15,866.6
2022-01-30,"12 wk ahead inc death",2022-04-23,"US","quantile",0.15,781.4
2022-01-30,"13 wk ahead inc death",2022-04-30,"US","quantile",0.15,709
2022-01-30,"14 wk ahead inc death",2022-05-07,"US","quantile",0.15,649.6
2022-01-30,"15 wk ahead inc death",2022-05-14,"US","quantile",0.15,598.8
2022-01-30,"16 wk ahead inc death",2022-05-21,"US","quantile",0.15,556.4
2022-01-30,"17 wk ahead inc death",2022-05-28,"US","quantile",0.15,520.8
2022-01-30,"18 wk ahead inc death",2022-06-04,"US","quantile",0.15,490.2
2022-01-30,"19 wk ahead inc death",2022-06-11,"US","quantile",0.15,466.8
2022-01-30,"20 wk ahead inc death",2022-06-18,"US","quantile",0.15,445.8
2022-01-30,"1 wk ahead cum death",2022-02-05,"US","quantile",0.15,81333.4
2022-01-30,"2 wk ahead cum death",2022-02-12,"US","quantile",0.15,84389.8
2022-01-30,"3 wk ahead cum death",2022-02-19,"US","quantile",0.15,86954.2
2022-01-30,"4 wk ahead cum death",2022-02-26,"US","quantile",0.15,89116.8
2022-01-30,"5 wk ahead cum death",2022-03-05,"US","quantile",0.15,90956.2
2022-01-30,"6 wk ahead cum death",2022-03-12,"US","quantile",0.15,92551.4
2022-01-30,"7 wk ahead cum death",2022-03-19,"US","quantile",0.15,93982.4
2022-01-30,"8 wk ahead cum death",2022-03-26,"US","quantile",0.15,95249
2022-01-30,"9 wk ahead cum death",2022-04-02,"US","quantile",0.15,96379.4
2022-01-30,"10 wk ahead cum death",2022-04-09,"US","quantile",0.15,97397.6
2022-01-30,"11 wk ahead cum death",2022-04-16,"US","quantile",0.15,98324.2
2022-01-30,"12 wk ahead cum death",2022-04-23,"US","quantile",0.15,99172.8
2022-01-30,"13 wk ahead cum death",2022-04-30,"US","quantile",0.15,99958.6
2022-01-30,"14 wk ahead cum death",2022-05-07,"US","quantile",0.15,100691
2022-01-30,"15 wk ahead cum death",2022-05-14,"US","quantile",0.15,101380.4
2022-01-30,"16 wk ahead cum death",2022-05-21,"US","quantile",0.15,102034
2022-01-30,"17 wk ahead cum death",2022-05-28,"US","quantile",0.15,102638.8
2022-01-30,"18 wk ahead cum death",2022-06-04,"US","quantile",0.15,103129
2022-01-30,"19 wk ahead cum death",2022-06-11,"US","quantile",0.15,103595.8
2022-01-30,"20 wk ahead cum death",2022-06-18,"US","quantile",0.15,104041.6
2022-01-30,"1 wk ahead inc death",2022-02-05,"US","quantile",0.2,0
2022-01-30,"2 wk ahead inc death",2022-02-12,"US","quantile",0.2,3231.6
2022-01-30,"3 wk ahead inc death",2022-02-19,"US","quantile",0.2,2731.2
2022-01-30,"4 wk ahead inc death",2022-02-26,"US","quantile",0.2,2339.8
2022-01-30,"5 wk ahead inc death",2022-03-05,"US","quantile",0.2,2023.2
2022-01-30,"6 wk ahead inc death",2022-03-12,"US","quantile",0.2,1763.2
2022-01-30,"7 wk ahead inc death",2022-03-19,"US","quantile",0.2,1553.8
2022-01-30,"8 wk ahead inc death",2022-03-26,"US","quantile",0.2,1397.6
2022-01-30,"9 wk ahead inc death",2022-04-02,"US","quantile",0.2,1265.8
2022-01-30,"10 wk ahead inc death",2022-04-09,"US","quantile",0.2,1157
2022-01-30,"11 wk ahead inc death",2022-04-16,"US","quantile",0.2,1067
2022-01-30,"12 wk ahead inc death",2022-04-23,"US","quantile",0.2,990.6
2022-01-30,"13 wk ahead inc death",2022-04-30,"US","quantile",0.2,929.4
2022-01-30,"14 wk ahead inc death",2022-05-07,"US","quantile",0.2,876.4
2022-01-30,"15 wk ahead inc death",2022-05-14,"US","quantile",0.2,834.8
2022-01-30,"16 wk ahead inc death",2022-05-21,"US","quantile",0.2,799.6
2022-01-30,"17 wk ahead inc death",2022-05-28,"US","quantile",0.2,772.4
2022-01-30,"18 wk ahead inc death",2022-06-04,"US","quantile",0.2,751.8
2022-01-30,"19 wk ahead inc death",2022-06-11,"US","quantile",0.2,736.8
2022-01-30,"20 wk ahead inc death",2022-06-18,"US","quantile",0.2,727
2022-01-30,"1 wk ahead cum death",2022-02-05,"US","quantile",0.2,81485.4
2022-01-30,"2 wk ahead cum death",2022-02-12,"US","quantile",0.2,84717
2022-01-30,"3 wk ahead cum death",2022-02-19,"US","quantile",0.2,87448.2
2022-01-30,"4 wk ahead cum death",2022-02-26,"US","quantile",0.2,89765.2
2022-01-30,"5 wk ahead cum death",2022-03-05,"US","quantile",0.2,91748.2
2022-01-30,"6 wk ahead cum death",2022-03-12,"US","quantile",0.2,93473
2022-01-30,"7 wk ahead cum death",2022-03-19,"US","quantile",0.2,95023.2
2022-01-30,"8 wk ahead cum death",2022-03-26,"US","quantile",0.2,96398.6
2022-01-30,"9 wk ahead cum death",2022-04-02,"US","quantile",0.2,97627.8
2022-01-30,"10 wk ahead cum death",2022-04-09,"US","quantile",0.2,98736.8
2022-01-30,"11 wk ahead cum death",2022-04-16,"US","quantile",0.2,99743.8
2022-01-30,"12 wk ahead cum death",2022-04-23,"US","quantile",0.2,100667.2
2022-01-30,"13 wk ahead cum death",2022-04-30,"US","quantile",0.2,101519.8
2022-01-30,"14 wk ahead cum death",2022-05-07,"US","quantile",0.2,102313.4
2022-01-30,"15 wk ahead cum death",2022-05-14,"US","quantile",0.2,103057.6
2022-01-30,"16 wk ahead cum death",2022-05-21,"US","quantile",0.2,103760
2022-01-30,"17 wk ahead cum death",2022-05-28,"US","quantile",0.2,104448.4
2022-01-30,"18 wk ahead cum death",2022-06-04,"US","quantile",0.2,105200.2
2022-01-30,"19 wk ahead cum death",2022-06-11,"US","quantile",0.2,105937
2022-01-30,"20 wk ahead cum death",2022-06-18,"US","quantile",0.2,106664
2022-01-30,"1 wk ahead inc death",2022-02-05,"US","quantile",0.25,0
2022-01-30,"2 wk ahead inc death",2022-02-12,"US","quantile",0.25,3722
2022-01-30,"3 wk ahead inc death",2022-02-19,"US","quantile",0.25,3385
2022-01-30,"4 wk ahead inc death",2022-02-26,"US","quantile",0.25,3093
2022-01-30,"5 wk ahead inc death",2022-03-05,"US","quantile",0.25,2850
2022-01-30,"6 wk ahead inc death",2022-03-12,"US","quantile",0.25,2650
2022-01-30,"7 wk ahead inc death",2022-03-19,"US","quantile",0.25,2481
2022-01-30,"8 wk ahead inc death",2022-03-26,"US","quantile",0.25,2345
2022-01-30,"9 wk ahead inc death",2022-04-02,"US","quantile",0.25,2234
2022-01-30,"10 wk ahead inc death",2022-04-09,"US","quantile",0.25,2145
2022-01-30,"11 wk ahead inc death",2022-04-16,"US","quantile",0.25,2077
2022-01-30,"12 wk ahead inc death",2022-04-23,"US","quantile",0.25,2027
2022-01-30,"13 wk ahead inc death",2022-04-30,"US","quantile",0.25,1990
2022-01-30,"14 wk ahead inc death",2022-05-07,"US","quantile",0.25,1972
2022-01-30,"15 wk ahead inc death",2022-05-14,"US","quantile",0.25,1968
2022-01-30,"16 wk ahead inc death",2022-05-21,"US","quantile",0.25,1976
2022-01-30,"17 wk ahead inc death",2022-05-28,"US","quantile",0.25,1998
2022-01-30,"18 wk ahead inc death",2022-06-04,"US","quantile",0.25,2035
2022-01-30,"19 wk ahead inc death",2022-06-11,"US","quantile",0.25,2086
2022-01-30,"20 wk ahead inc death",2022-06-18,"US","quantile",0.25,2151
2022-01-30,"1 wk ahead cum death",2022-02-05,"US","quantile",0.25,81722
2022-01-30,"2 wk ahead cum death",2022-02-12,"US","quantile",0.25,85444
2022-01-30,"3 wk ahead cum death",2022-02-19,"US","quantile",0.25,88829
2022-01-30,"4 wk ahead cum death",2022-02-26,"US","quantile",0.25,91922
2022-01-30,"5 wk ahead cum death",2022-03-05,"US","quantile",0.25,94772
2022-01-30,"6 wk ahead cum death",2022-03-12,"US","quantile",0.25,97422
2022-01-30,"7 wk ahead cum death",2022-03-19,"US","quantile",0.25,99903
2022-01-30,"8 wk ahead cum death",2022-03-26,"US","quantile",0.25,102248
2022-01-30,"9 wk ahead cum death",2022-04-02,"US","quantile",0.25,104482
2022-01-30,"10 wk ahead cum death",2022-04-09,"US","quantile",0.25,106627
2022-01-30,"11 wk ahead cum death",2022-04-16,"US","quantile",0.25,108704
2022-01-30,"12 wk ahead cum death",2022-04-23,"US","quantile",0.25,110731
2022-01-30,"13 wk ahead cum death",2022-04-30,"US","quantile",0.25,112721
2022-01-30,"14 wk ahead cum death",2022-05-07,"US","quantile",0.25,114693
2022-01-30,"15 wk ahead cum death",2022-05-14,"US","quantile",0.25,116661
2022-01-30,"16 wk ahead cum death",2022-05-21,"US","quantile",0.25,118637
2022-01-30,"17 wk ahead cum death",2022-05-28,"US","quantile",0.25,120635
2022-01-30,"18 wk ahead cum death",2022-06-04,"US","quantile",0.25,122670
2022-01-30,"19 wk ahead cum death",2022-06-11,"US","quantile",0.25,124756
2022-01-30,"20 wk ahead cum death",2022-06-18,"US","quantile",0.25,126907
2022-01-30,"1 wk ahead inc death",2022-02-05,"US","quantile",0.3,0
2022-01-30,"2 wk ahead inc death",2022-02-12,"US","quantile",0.3,4021.2
2022-01-30,"3 wk ahead inc death",2022-02-19,"US","quantile",0.3,3706.4
2022-01-30,"4 wk ahead inc death",2022-02-26,"US","quantile",0.3,3424.6
2022-01-30,"5 wk ahead inc death",2022-03-05,"US","quantile",0.3,3187.4
2022-01-30,"6 wk ahead inc death",2022-03-12,"US","quantile",0.3,2993.2
2022-01-30,"7 wk ahead inc death",2022-03-19,"US","quantile",0.3,2834.6
2022-01-30,"8 wk ahead inc death",2022-03-26,"US","quantile",0.3,2705.2
2022-01-30,"9 wk ahead inc death",2022-04-02,"US","quantile",0.3,2603.6
2022-01-30,"10 wk ahead inc death",2022-04-09,"US","quantile",0.3,2526.6
2022-01-30,"11 wk ahead inc death",2022-04-16,"US","quantile",0.3,2468.8
2022-01-30,"12 wk ahead inc death",2022-04-23,"US","quantile",0.3,2432
2022-01-30,"13 wk ahead inc death",2022-04-30,"US","quantile",0.3,2414.2
2022-01-30,"14 wk ahead inc death",2022-05-07,"US","quantile",0.3,2414.2
2022-01-30,"15 wk ahead inc death",2022-05-14,"US","quantile",0.3,2430.2
2022-01-30,"16 wk ahead inc death",2022-05-21,"US","quantile",0.3,2463.8
2022-01-30,"17 wk ahead inc death",2022-05-28,"US","quantile",0.3,2514.6
2022-01-30,"18 wk ahead inc death",2022-06-04,"US","quantile",0.3,2582
2022-01-30,"19 wk ahead inc death",2022-06-11,"US","quantile",0.3,2669.2
2022-01-30,"20 wk ahead inc death",2022-06-18,"US","quantile",0.3,2775.8
2022-01-30,"1 wk ahead cum death",2022-02-05,"US","quantile",0.3,81913.8
2022-01-30,"2 wk ahead cum death",2022-02-12,"US","quantile",0.3,85935
2022-01-30,"3 wk ahead cum death",2022-02-19,"US","quantile",0.3,89684.6
2022-01-30,"4 wk ahead cum death",2022-02-26,"US","quantile",0.3,93132
2022-01-30,"5 wk ahead cum death",2022-03-05,"US","quantile",0.3,96319.4
2022-01-30,"6 wk ahead cum death",2022-03-12,"US","quantile",0.3,99312.6
2022-01-30,"7 wk ahead cum death",2022-03-19,"US","quantile",0.3,102147.2
2022-01-30,"8 wk ahead cum death",2022-03-26,"US","quantile",0.3,104852.4
2022-01-30,"9 wk ahead cum death",2022-04-02,"US","quantile",0.3,107456
2022-01-30,"10 wk ahead cum death",2022-04-09,"US","quantile",0.3,109982.6
2022-01-30,"11 wk ahead cum death",2022-04-16,"US","quantile",0.3,112451.4
2022-01-30,"12 wk ahead cum death",2022-04-23,"US","quantile",0.3,114883.4
2022-01-30,"13 wk ahead cum death",2022-04-30,"US","quantile",0.3,117297.6
2022-01-30,"14 wk ahead cum death",2022-05-07,"US","quantile",0.3,119711.8
2022-01-30,"15 wk ahead cum death",2022-05-14,"US","quantile",0.3,122142
2022-01-30,"16 wk ahead cum death",2022-05-21,"US","quantile",0.3,124605.8
2022-01-30,"17 wk ahead cum death",2022-05-28,"US","quantile",0.3,127120.4
2022-01-30,"18 wk ahead cum death",2022-06-04,"US","quantile",0.3,129702.4
2022-01-30,"19 wk ahead cum death",2022-06-11,"US","quantile",0.3,132371.6
2022-01-30,"20 wk ahead cum death",2022-06-18,"US","quantile",0.3,135147.4
2022-01-30,"1 wk ahead inc death",2022-02-05,"US","quantile",0.35,0
2022-01-30,"2 wk ahead inc death",2022-02-12,"US","quantile",0.35,4077.6
2022-01-30,"3 wk ahead inc death",2022-02-19,"US","quantile",0.35,3814.4
2022-01-30,"4 wk ahead inc death",2022-02-26,"US","quantile",0.35,3593
2022-01-30,"5 wk ahead inc death",2022-03-05,"US","quantile",0.35,3412.2
2022-01-30,"6 wk ahead inc death",2022-03-12,"US","quantile",0.35,3266
2022-01-30,"7 wk ahead inc death",2022-03-19,"US","quantile",0.35,3153
2022-01-30,"8 wk ahead inc death",2022-03-26,"US","quantile",0.35,3068.4
2022-01-30,"9 wk ahead inc death",2022-04-02,"US","quantile",0.35,3008.4
2022-01-30,"10 wk ahead inc death",2022-04-09,"US","quantile",0.35,2973.8
2022-01-30,"11 wk ahead inc death",2022-04-16,"US","quantile",0.35,2959.6
2022-01-30,"12 wk ahead inc death",2022-04-23,"US","quantile",0.35,2968.4
2022-01-30,"13 wk ahead inc death",2022-04-30,"US","quantile",0.35,2993.8
2022-01-30,"14 wk ahead inc death",2022-05-07,"US","quantile",0.35,3041
2022-01-30,"15 wk ahead inc death",2022-05-14,"US","quantile",0.35,3108.2
2022-01-30,"16 wk ahead inc death",2022-05-21,"US","quantile",0.35,3199.8
2022-01-30,"17 wk ahead inc death",2022-05-28,"US","quantile",0.35,3312.6
2022-01-30,"18 wk ahead inc death",2022-06-04,"US","quantile",0.35,3449.6
2022-01-30,"19 wk ahead inc death",2022-06-11,"US","quantile",0.35,3612.8
